               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.052741,            0.017227,           0.0060732,             0.79003,             0.54615,             0.59222,             0.31243,             0.04778,             0.01662,            0.011894,            0.008449,            0.008449,            0.008449
                  49,            0.052014,            0.016217,           0.0059991,             0.78696,             0.52858,             0.60702,             0.32587,            0.047023,            0.016505,            0.011022,            0.008416,            0.008416,            0.008416
                  50,            0.051795,             0.01653,           0.0062859,             0.75225,             0.53758,             0.60687,             0.33072,            0.046675,            0.016406,            0.011896,            0.008383,            0.008383,            0.008383
                  51,            0.052089,            0.016711,           0.0058469,             0.77822,             0.51584,             0.57681,             0.31176,            0.047073,            0.016385,            0.011859,             0.00835,             0.00835,             0.00835
                  52,            0.051414,            0.016656,           0.0058492,             0.77468,              0.4975,             0.58085,             0.31014,            0.046992,            0.016272,             0.01196,            0.008317,            0.008317,            0.008317
                  53,            0.051661,            0.016117,           0.0063171,             0.80231,             0.53365,             0.57912,              0.3116,            0.046401,            0.016317,             0.01177,            0.008284,            0.008284,            0.008284
                  54,            0.051867,            0.016102,           0.0055533,             0.69295,             0.58287,             0.59961,             0.32622,            0.046768,            0.016479,            0.011682,            0.008251,            0.008251,            0.008251
                  55,            0.051204,            0.015873,           0.0054915,             0.76692,             0.54108,             0.59342,             0.32258,            0.046944,            0.016342,            0.012587,            0.008218,            0.008218,            0.008218
                  56,            0.051703,            0.016306,           0.0056885,             0.79115,             0.52061,             0.57535,             0.31477,            0.046663,            0.016514,            0.012632,            0.008185,            0.008185,            0.008185
                  57,            0.050967,            0.016273,           0.0058221,             0.80318,             0.55686,             0.61233,             0.32329,            0.046634,            0.016286,            0.011702,            0.008152,            0.008152,            0.008152
                  58,            0.051341,            0.016119,           0.0059295,             0.82341,             0.55377,              0.6071,             0.33441,            0.046547,            0.016341,            0.011187,            0.008119,            0.008119,            0.008119
                  59,            0.051494,            0.016301,           0.0057023,              0.7849,              0.5759,             0.60388,             0.32784,            0.046291,            0.016207,            0.011593,            0.008086,            0.008086,            0.008086
                  60,            0.050527,            0.015707,           0.0055708,             0.84163,             0.57965,             0.63103,             0.32275,            0.046507,            0.016374,            0.010965,            0.008053,            0.008053,            0.008053
                  61,            0.051414,            0.016002,           0.0057238,             0.78754,             0.60132,             0.63226,             0.33587,            0.046359,            0.016311,            0.011004,             0.00802,             0.00802,             0.00802
                  62,            0.050808,            0.016005,           0.0054113,             0.83136,             0.55507,             0.61327,             0.33716,            0.046389,            0.016538,            0.011185,            0.007987,            0.007987,            0.007987
